Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,4036.14,6734.94,27000,Petrol,Dealer,Manual,0
sx4,2013,5722.89,11493.98,43000,Diesel,Dealer,Manual,0
ciaz,2017,8734.94,11867.47,6900,Petrol,Dealer,Manual,0
wagon r,2011,3433.73,5000.0,5200,Petrol,Dealer,Manual,0
swift,2014,5542.17,8277.11,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,11144.58,11843.37,2071,Diesel,Dealer,Manual,0
ciaz,2015,8132.53,9783.13,18796,Petrol,Dealer,Manual,0
s cross,2015,7831.33,10373.49,33429,Diesel,Dealer,Manual,0
ciaz,2016,10542.17,10710.84,20273,Diesel,Dealer,Manual,0
ciaz,2015,8975.9,10746.99,42367,Diesel,Dealer,Manual,0
alto 800,2017,3433.73,4337.35,2135,Petrol,Dealer,Manual,0
ciaz,2015,8253.01,12506.02,51000,Diesel,Dealer,Manual,0
ciaz,2015,9036.14,11975.9,15000,Petrol,Dealer,Automatic,0
ertiga,2015,7349.4,9289.16,26000,Petrol,Dealer,Manual,0
dzire,2009,2710.84,8686.75,77427,Petrol,Dealer,Manual,0
ertiga,2016,9337.35,13000.0,43000,Diesel,Dealer,Manual,0
ertiga,2015,8734.94,13000.0,41678,Diesel,Dealer,Manual,0
ertiga,2016,9337.35,13000.0,43000,Diesel,Dealer,Manual,0
wagon r,2015,3915.66,6132.53,35500,CNG,Dealer,Manual,0
sx4,2010,3192.77,9614.46,41442,Petrol,Dealer,Manual,0
alto k10,2016,3433.73,4759.04,25000,Petrol,Dealer,Manual,0
ignis,2017,5903.61,6879.52,2400,Petrol,Dealer,Manual,0
sx4,2011,5301.2,9650.6,50000,Petrol,Dealer,Automatic,0
alto k10,2014,3012.05,4168.67,45280,Petrol,Dealer,Manual,0
wagon r,2013,3493.98,5313.25,56879,Petrol,Dealer,Manual,0
swift,2011,3614.46,6012.05,20000,Petrol,Dealer,Manual,0
swift,2013,5000.0,7072.29,55138,Petrol,Dealer,Manual,0
swift,2017,7228.92,7819.28,16200,Petrol,Individual,Manual,0
alto k10,2010,2349.4,4759.04,44542,Petrol,Dealer,Manual,0
ciaz,2015,8975.9,12506.02,45000,Diesel,Dealer,Manual,0
ritz,2012,3734.94,7204.82,51439,Diesel,Dealer,Manual,0
ritz,2011,2831.33,5891.57,54200,Petrol,Dealer,Manual,0
swift,2014,5963.86,9024.1,39000,Diesel,Dealer,Manual,0
ertiga,2014,7228.92,11987.95,45000,Diesel,Dealer,Manual,0
dzire,2014,6626.51,9710.84,45000,Diesel,Dealer,Manual,0
sx4,2011,3554.22,9325.3,49998,CNG,Dealer,Manual,0
dzire,2015,5602.41,8674.7,48767,Petrol,Dealer,Manual,0
800,2003,421.69,2746.99,127000,Petrol,Individual,Manual,0
alto k10,2016,3614.46,4530.12,10079,Petrol,Dealer,Manual,0
sx4,2003,2710.84,9614.46,62000,Petrol,Dealer,Manual,0
baleno,2016,7048.19,9481.93,24524,Petrol,Dealer,Automatic,0
alto k10,2014,3072.29,4795.18,46706,Petrol,Dealer,Manual,0
sx4,2008,2349.4,8614.46,58000,Petrol,Dealer,Manual,0
dzire,2014,6626.51,9710.84,45780,Diesel,Dealer,Manual,0
omni,2012,1506.02,3240.96,50000,Petrol,Dealer,Manual,0
ciaz,2014,9036.14,14506.02,15000,Petrol,Dealer,Automatic,0
ritz,2013,3192.77,5891.57,64532,Petrol,Dealer,Manual,0
wagon r,2006,1265.06,5000.0,65000,Petrol,Dealer,Manual,0
ertiga,2015,6987.95,9289.16,25870,Petrol,Dealer,Manual,0
ciaz,2017,9337.35,11192.77,37000,Petrol,Dealer,Automatic,0
fortuner,2012,17951.81,36879.52,104707,Diesel,Dealer,Automatic,0
fortuner,2015,27710.84,36879.52,40000,Diesel,Dealer,Automatic,0
innova,2017,21686.75,23819.28,15000,Diesel,Dealer,Automatic,0
fortuner,2013,19277.11,36879.52,135000,Diesel,Individual,Automatic,0
innova,2005,3313.25,12301.2,90000,Petrol,Individual,Manual,0
corolla altis,2009,4337.35,18120.48,70000,Petrol,Dealer,Automatic,0
etios cross,2015,5421.69,8759.04,40534,Petrol,Dealer,Manual,0
corolla altis,2010,5722.89,22337.35,50000,Petrol,Dealer,Manual,0
etios g,2014,4939.76,8192.77,39485,Petrol,Dealer,Manual,1
fortuner,2014,24084.34,43325.3,41000,Diesel,Dealer,Automatic,0
corolla altis,2013,8373.49,22421.69,40001,Petrol,Dealer,Manual,0
